[2024-04-25 08:56:15] PATH FILE: ./archivos
[2024-04-25 08:56:15] INVENTORY FILES: file_001.csv
[2024-04-25 08:56:15] LOG FILE: file_log.log
[2024-04-25 08:56:15] NUM SUCURSALES: 5
[2024-04-25 08:56:15] NUM PROCESOS: 5
[2024-04-25 08:56:15] SIMULATE SLEEP: 4
[2024-04-25 08:56:15] Archivos creados correctamente: consolidado.csv y file_log.log
[2024-04-25 08:56:15] Procesando sucursal : SU002
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU002_COMPRA01_12042024.csv procesado 
